LATITUDE,LONGITUDE,PRECINCT
-73.9496815,40.8020241,28
-74.0001371,40.7161987,5
-73.8762125,40.8240856,43
-73.9447717,40.6510657,67
-74.1215767,40.5613119,122
-73.9098906,40.6456145,69
-73.9506605,40.6263625,70
-73.8898048,40.8724007,52
-73.8629988,40.8523247,49
-73.9922224,40.7176586,5
-74.0011256,40.7241667,1
-73.8643841,40.8678394,49
-74.007017,40.6549544,72
-73.9344002,40.7460347,108
-73.8819765,40.8703866,52
-73.9950749,40.6340776,66
-73.9443222,40.7880564,23
-73.9806727,40.7509045,17
-73.8464778,40.817048,43
-73.9502377,40.7054724,90
-74.0090609,40.7108872,1
-73.9478358,40.7466701,108
-73.890236,40.7667047,114
-73.9846193,40.7591997,18
-73.7640895,40.7075195,103
-73.8182648,40.7498267,109
-73.9974301,40.661037,72
-73.9509752,40.6639058,71
-73.8910808,40.6562617,75
-73.9468516,40.7091763,90
-73.9616083,40.7643654,19
-73.9013994,40.9098158,50
-73.9795031,40.7397825,13
-73.7967711,40.7005141,103
-73.7772287,40.6796533,113
-73.9356361,40.7368761,108
-73.9513543,40.7123979,90
-73.7850808,40.7189157,107
-73.823484,40.764651,109
-73.9917461,40.7185836,5
-73.9338333,40.691894,81
-73.9105432,40.744756,108
-74.0757869,40.6087623,120
-73.7799359,40.7551698,111
-74.0227324,40.6180871,68
-73.9130364,40.6843677,83
-73.8607565,40.7285372,112
-73.945831,40.7578101,114
-74.1140729,40.6245818,120
-74.0283499,40.6227987,68
-73.9511173,40.7109568,90
-74.1212583,40.6278216,120
-73.7417317,40.6597315,105
-73.933222,40.600108,61
-74.0673986,40.5977334,122
-73.8792541,40.8344254,43
-73.8680939,40.8184993,43
-73.8704003,40.7621717,115
-74.0972671,40.6339982,120
-73.7827967,40.7766666,109
-73.9556676,40.6811367,79
-73.8946313,40.6970606,104
-73.922758,40.8173878,40
-73.8278938,40.7513045,109
-73.9225385,40.7080591,83
-73.8644784,40.8410869,43
-74.0245673,40.6417715,72
-73.9241562,40.7539607,114
-73.9443222,40.7880564,23
-73.8246972,40.679546,106
-74.0044171,40.7422847,10
-73.9881543,40.7319639,9
-73.8459342,40.8427653,45
-73.9555012,40.7684858,19
-73.9218247,40.6769384,77
-73.9077366,40.6579423,73
-73.9316919,40.7652244,114
-74.000526,40.6364547,66
-73.9753418,40.7412749,17
-73.9871799,40.7332923,13
-73.9338333,40.691894,81
-73.9803395,40.7304423,13
-74.0175714,40.6208987,68
-73.8605718,40.8306468,43
-73.7360277,40.7358285,105
-73.9785356,40.785787,20
-73.9916334,40.7547072,14
-73.9874743,40.760405,18
-73.858263,40.8220118,43
-73.9708818,40.798444,24
-73.9873768,40.6081278,62
-73.9367906,40.7598833,114
-73.95729,40.6643036,71
-73.8104838,40.7369935,107
-73.8655633,40.6690638,75
-73.8223473,40.6846422,106
-73.9671533,40.7567642,17
-73.8253151,40.7629768,109
-73.9645027,40.7589756,17
-73.9220696,40.6894904,83
-73.8855916,40.738325,110
-73.9394577,40.8160255,32
-73.9179159,40.8709228,34
-73.9889851,40.7267792,9
-73.9044192,40.8703607,50
-73.9979797,40.7226626,5
-73.9854275,40.6783447,78
-73.904463,40.6787753,73
-73.881667,40.8533472,48
-73.9197796,40.8035936,40
-74.1795009,40.5541681,123
-73.8906229,40.6585778,75
-73.7696774,40.6843183,113
-73.9644717,40.7157321,90
-73.9574027,40.7701196,19
-73.9920774,40.7540925,14
-73.9223863,40.804696,40
-73.8448746,40.6802804,106
-73.8703694,40.7334973,110
-73.7356712,40.6656136,105
-73.9640543,40.6936283,88
-73.8163543,40.7149351,107
-73.9505022,40.6698646,71
-73.9342137,40.8435685,33
-73.9349587,40.713721,90
-73.9924679,40.62051,62
-73.9851029,40.7594056,18
-73.9545761,40.7697535,19
-73.8292945,40.7525939,109
-73.9542141,40.5873824,61
-73.8700582,40.8782895,47
-73.8577325,40.8335582,43
-74.1560555,40.5477329,122
-73.7701192,40.7601077,111
-73.7693497,40.7602845,111
-73.9968524,40.7577322,10
-73.9977125,40.6236805,62
-73.9794839,40.7554056,18
-73.9845604,40.7484375,14
-73.9934591,40.7244328,5
-73.9493728,40.7140658,90
-73.8475454,40.8809325,47
-73.988192,40.7434507,13
-73.8826776,40.692317,104
-73.8703694,40.7334973,110
-73.9722319,40.7914974,24
-73.9703425,40.7523789,17
-73.950066,40.6554241,71
-73.7467798,40.7474713,111
-73.9676275,40.6352397,70
-73.763481,40.685873,113
-73.9969843,40.7165417,5
-73.9498444,40.6768744,77
-73.9347786,40.7355527,108
-73.7671284,40.6666971,105
-73.9213906,40.7668948,114
-73.9841185,40.7548409,14
-73.8327446,40.6880421,102
-73.9659052,40.6000839,61
-74.0901074,40.6094024,120
-73.8447524,40.6878778,102
-73.9808885,40.7534818,14
-73.9374076,40.8101754,25
-73.8351603,40.7581413,109
-73.9098446,40.7516393,114
-73.9869481,40.7560353,14
-74.1427191,40.5454336,122
-73.8433035,40.6753129,106
-73.9744374,40.7565574,18
-73.8872899,40.875648,52
-73.8752676,40.8771397,52
-74.0106725,40.7291123,1
